"last_name, first_name","player_id","year","pa","k_percent","bb_percent","isolated_power","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent","pull_percent","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Cabrera, Miguel",408234,2021,526,22.4,7.6,"0.130",".313","91.4",8.3,49,69.1,30.3,57.2,81.9,25.8,49.4,32.8,62.5,49,25.9,21.5,"24.0"
"Cruz, Nelson",443558,2021,584,21.6,8.7,"0.232",".367","92.9",13.6,52.5,73.8,31,52.6,77.3,30.7,51,36.6,63.4,43.4,25.5,22,"26.0"
"Peralta, David",444482,2021,538,17.1,8.6,"0.143",".294","89.3",5,41.8,66.3,27.4,59.9,86.8,21.3,46.5,31.2,57.8,54.9,15.6,23.2,"27.6"
"Blackmon, Charlie",453568,2021,582,15.6,9.3,"0.141",".358","87.6",7,38.5,67.9,26.2,63.9,85.8,20.2,47.3,35.7,61.3,47.4,22.3,24.4,"27.6"
"McCutchen, Andrew",457705,2021,574,23,14.1,"0.222",".340","88.8",9,39.5,63.7,19.1,50.5,81.1,25.9,41.7,48.7,62.1,40.9,30.5,21.6,"28.7"
"Turner, Justin",457759,2021,612,16,10,"0.193",".361","90.9",7.9,42.4,66.9,22.7,69.4,86.8,17.7,44.5,31.3,55.4,35.4,33.1,24.5,"25.8"
"Votto, Joey",458015,2021,533,23.8,14.4,"0.297",".404","92.9",17.2,53.2,67.9,22,50.8,77.6,29.4,43.9,40.9,58.7,33.2,36.9,25.2,"25.2"
"Andrus, Elvis",462101,2021,541,15,5.7,"0.077",".311","87.8",2.1,34.8,65.9,31.9,61.3,89.6,19.6,48.9,32.2,62.3,47,17.5,28.4,"26.7"
"Santana, Carlos",467793,2021,659,15.5,13.1,"0.128",".333","89.9",6.8,41.9,66.9,22.6,63,83.3,22.3,43.4,43.4,57.2,45.3,26.5,19.2,"25.0"
"Lowrie, Jed",476704,2021,512,21.1,9.6,"0.153",".344","90.7",9.3,45.9,70.8,21,53.9,81.8,24.2,46.7,37.1,58,36.8,32.6,24.9,"25.3"
"Brantley, Michael",488726,2021,508,10.4,6.5,"0.126",".361","89.5",5.8,42.9,65.9,24.1,78.1,92.9,10.9,45.6,33.3,63.3,46.8,20.6,28.8,"25.7"
